keys,en
status.saignement.name,Bleeding
status.infection.name,Infection
status.ralentissement.name,Slow
status.hate.name,Haste
status.hate_meute.name,Pack haste
status.ralliement.name,Rally
status.etourdi.name,Stunned
status.enracinement.name,Rooted
status.retarde.name,Delayed
status.egide.name,Aegis
status.garde_annulee.name,Guard broken
status.terreur.name,Terror
item.proto_fleches.name,Arrows
ui.fin.titre,=== END OF COMBAT — {issue} in {ticks} ticks ===
ui.fin.victoire,victory
ui.fin.defaite,defeat
rig.humanoide.name,Humanoid
rig.quadrupede.name,Quadruped
rig.volant.name,Flying
rig.amorphe.name,Amorphous
tutorial.bascule_tactique.text,A hostile saw you: time now only moves when you act. Thinking is free — read the timeline on the right before acting.
tutorial.telegraphe.text,"A “!” and red tiles: an attack is engaged and resolves when its counter comes up. Move, guard (G) or strike first."
tutorial.premier_segment.text,A hit sets a chain segment (the dots below you). Chain five elements in generation order — or four quick hits then a heavy one — to resolve.
tutorial.fin_de_combat.text,"Combat releases: the end screen shows the duration in ticks and the XP of each track (element, weapon, damage type, armour)."
journal.victoire,no hostile left. Victory.
journal.defaite,you fell. Tab: restart.
option.abaisser,Dig down (trench)
option.affut,Deploy the turret
option.apprivoiser,Tame
option.arme_fantome,"Summon a {element} blade"
option.attaquer,Attack
option.caisse,Collect the takings
option.capturer,Throw the net
option.conquerir,Conquer this village
option.creuser,Dig / harvest
option.cueillir,Gather
option.declencher_glyphe,Trigger the glyph
option.demonter,Dismantle
option.deplacer,Move here
option.descendre,Go down the stairs
option.designer,Mark for the companions
option.dormir,Sleep
option.elever,Raise (bank)
option.fertiliser,Fertilise the plot
option.forme_humaine,Return to human form
option.lancer_etre,Throw the held being here
option.lourde,Heavy attack
option.masque,"Wear / remove: {nom}"
option.mordre,Bite
option.parler,Talk
option.poser_portail,Place a portal
option.prendre,Take the contents
option.recolter,Harvest the plot
option.recruter,Recruit
option.relever,"Raise: {nom}"
option.remonter,Go up the stairs
option.saisir,Grab
option.segment_dominant,Segment: the dominant one
option.segment_prefere,"Lay the segment: {element}"
option.tempo,Steal tempo
option.transformer,Shapeshift
option.traverser,Step through the portal
option.traverser_mur,Pass through the wall
tile_content.arbre.name,Tree
tile_content.barriere.name,Barrier
tile_content.butin.name,Loot
tile_content.coffre.name,Chest
tile_content.culture.name,Plot
tile_content.culture_mure.name,Ripe plot
tile_content.eau.name,Water
tile_content.eau_ecoulement.name,Water (flow)
tile_content.entree_donjon.name,Dungeon entrance
tile_content.filon.name,Vein
tile_content.lave.name,Lava
tile_content.meuble.name,Furniture
tile_content.mur.name,Wall
tile_content.mur_construit.name,Built wall
tile_content.obsidienne_figee.name,Cooled rock
tile_content.plante.name,Plant
tile_content.plante_sauvage.name,Wild plant
tile_content.porte.name,Door
tile_content.roche.name,Rock
tile_content.station_fixe.name,Workstation
status.affaibli.name,Weakened
status.antipoison.name,Antidote
status.beni.name,Blessed
status.confusion.name,Confusion
status.dissimule.name,Hidden
status.gel.name,Frozen
status.gravure.name,Engraving
status.lame_empoisonnee.name,Poisoned blade
status.masque_du_hibou.name,Owl Mask
status.masque_du_renard.name,Fox Mask
status.masque_du_taureau.name,Bull Mask
status.morsure.name,Bite
status.morsure_lunaire.name,Moon bite
status.peau_de_pierre.name,Stoneskin
status.potion_charisme.name,Charisma potion
status.potion_charisme_forte.name,Strong charisma potion
status.potion_dexterite.name,Dexterity potion
status.potion_dexterite_forte.name,Strong dexterity potion
status.potion_endurance.name,Endurance potion
status.potion_endurance_forte.name,Strong endurance potion
status.potion_force.name,Strength potion
status.potion_force_forte.name,Strong strength potion
status.potion_perception.name,Perception potion
status.potion_perception_forte.name,Strong perception potion
status.potion_volonte.name,Will potion
status.potion_volonte_forte.name,Strong will potion
status.regeneration.name,Regeneration
status.resistance_feu.name,Fire resistance
status.resistance_froid.name,Cold resistance
status.respiration_aquatique_potion.name,Water breathing
status.saisi.name,Grabbed
status.sang_de_la_nuit.name,Blood of the night
status.soleil.name,Sunlight
status.vision_nocturne_potion.name,Night vision
competence.agriculture.name,Farming
competence.alchimie.name,Alchemy
competence.arbalete.name,Crossbow
competence.arc.name,Bow
competence.athletisme.name,Athletics
competence.baton_magique.name,Magic staff
competence.bouclier.name,Shield
competence.bucheronnage.name,Woodcutting
competence.collecte.name,Gathering
competence.contondant.name,Blunt
competence.controle_mana.name,Mana control
competence.cuir.name,Leather
competence.cuisine.name,Cooking
competence.dague.name,Dagger
competence.deux_mains.name,Two-handed
competence.discretion.name,Stealth
competence.dressage.name,Animal handling
competence.dual_wielding.name,Dual wielding
competence.ecailles.name,Scale armour
competence.element_bois.name,Wood (element)
competence.element_eau.name,Water (element)
competence.element_feu.name,Fire (element)
competence.element_metal.name,Metal (element)
competence.element_terre.name,Earth (element)
competence.elevage.name,Breeding
competence.encaissement.name,Toughness
competence.enchantement.name,Enchanting
competence.epee.name,Sword
competence.esquive.name,Dodge
competence.forge.name,Smithing
competence.hache_d_armes.name,Battleaxe
competence.herboristerie.name,Herbalism
competence.lance.name,Spear
competence.leadership.name,Leadership
competence.lecture.name,Reading
competence.magie_arcane.name,Arcane
competence.magie_bois.name,Lightning/Life
competence.magie_corruption.name,Corruption
competence.magie_eau.name,Water/Ice
competence.magie_espace.name,Space
competence.magie_feu.name,Fire
competence.magie_metal.name,Metal
competence.magie_terre.name,Earth
competence.mailles.name,Mail
competence.mains_nues.name,Unarmed
competence.masse.name,Mace
competence.matelasse.name,Padded armour
competence.meditation.name,Meditation
competence.menuiserie.name,Carpentry
competence.minage.name,Mining
competence.navigation.name,Navigation
competence.negociation.name,Bargaining
competence.perforant.name,Piercing
competence.plaque.name,Plate
competence.taille_de_pierre.name,Stonecutting
competence.terrassement.name,Earthworks
competence.tissage.name,Weaving
competence.tranchant.name,Slashing
classe.l_ecarlate.name,The Scarlet
classe.l_engrenage.name,The Cog
classe.l_ombre.name,The Shadow
classe.la_balance.name,The Scales
classe.la_braise.name,The Ember
classe.la_meche.name,The Fuse
classe.la_paume.name,The Palm
classe.la_trace.name,The Trail
classe.le_creuset.name,The Crucible
classe.le_fossoyeur.name,The Gravedigger
classe.le_masque.name,The Mask
classe.le_passeur.name,The Ferryman
classe.le_porteur.name,The Bearer
classe.le_rieur.name,The Laugher
classe.le_sablier.name,The Hourglass
classe.le_sabre.name,The Sabre
classe.le_sceau.name,The Seal
classe.le_souffle.name,The Breath
classe.le_vent.name,The Wind
race.elfe.name,Elf
race.humain.name,Human
race.lycanthrope.name,Lycanthrope
race.nain.name,Dwarf
race.spectre.name,Wraith
race.vampire.name,Vampire
item.achillee.name,Yarrow
item.amanite.name,Fly agaric
item.ame.name,Companion's soul
item.antidote.name,Antidote
item.arme_fantome.name,Phantom blade
item.baies.name,Berries
item.bandage.name,Bandage
item.belladone.name,Belladonna
item.ble.name,Wheat
item.bombe.name,Bomb
item.camomille.name,Chamomile
item.carotte.name,Carrot
item.champignon_bleu.name,Blue mushroom
item.champignon_des_pres.name,Field mushroom
item.chou.name,Cabbage
item.citrouille.name,Pumpkin
item.composant.name,Component
item.craft_casque.name,Helmet
item.craft_cuirasse.name,Cuirass
item.craft_dague.name,Dagger
item.craft_epee.name,Sword
item.craft_jambieres.name,Greaves
item.craft_lance.name,Spear
item.craft_masse.name,Mace
item.craft_pioche.name,Pickaxe
item.dent.name,Tooth
item.elixir_de_hate.name,Elixir of haste
item.essence_de_mana.name,Mana essence
item.fiole_de_soin.name,Healing vial
item.fleurs_sauvages.name,Wildflowers
item.framboisier.name,Raspberry bush
item.fruit_de_mana.name,Mana fruit
item.gemme_ambre.name,Amber
item.gemme_amethyste.name,Amethyst
item.gemme_diamant.name,Diamond
item.gemme_emeraude.name,Emerald
item.gemme_grenat.name,Garnet
item.gemme_onyx.name,Onyx
item.gemme_opale.name,Opal
item.gemme_rubis.name,Ruby
item.gemme_saphir.name,Sapphire
item.gemme_topaze.name,Topaz
item.grande_fiole_de_soin.name,Large healing vial
item.griffe.name,Claw
item.grimoire.name,Grimoire
item.houblon.name,Hops
item.huile_d_arme.name,Weapon oil
item.manuel.name,Manual
item.materiau_brut.name,Raw material
item.menthe.name,Mint
item.miel.name,Honey
item.myrtillier.name,Bilberry bush
item.oeil.name,Eye
item.oignon.name,Onion
item.orge.name,Barley
item.ortie.name,Nettle
item.os.name,Bone
item.pain.name,Bread
item.peau.name,Hide
item.plan_industriel.name,Industrial blueprint
item.poison_de_lame.name,Blade poison
item.poisson_grille.name,Grilled fish
item.pomme_de_terre.name,Potato
item.potion_antipoison.name,Antidote potion
item.potion_charisme.name,Charisma potion
item.potion_dexterite.name,Dexterity potion
item.potion_endurance.name,Endurance potion
item.potion_force.name,Strength potion
item.potion_mana.name,Mana potion
item.potion_perception.name,Perception potion
item.potion_resistance_feu.name,Fire resistance potion
item.potion_resistance_froid.name,Cold resistance potion
item.potion_respiration_aquatique.name,Water breathing potion
item.potion_soin.name,Healing potion
item.potion_vision_nocturne.name,Night vision potion
item.potion_volonte.name,Will potion
item.proto_amulette.name,Amulet
item.proto_anneau.name,Ring
item.proto_faucille.name,Iron sickle
item.proto_hache.name,Iron axe
item.proto_pioche.name,Iron pickaxe
item.ragout.name,Stew
item.ration_de_voyage.name,Travel ration
item.ration_moisie.name,Mouldy ration
item.roseau.name,Reed
item.sauge.name,Sage
item.specimen.name,Specimen
item.tomate.name,Tomato
item.torche.name,Torch
item.viande_crue.name,Raw meat
item.viande_grillee.name,Grilled meat
item.vigne.name,Vine
meuble.autel_domestique.name,Household altar
meuble.bassin.name,Pond
meuble.bibliotheque.name,Bookcase
meuble.chaise.name,Chair
meuble.cheminee.name,Fireplace
meuble.clayette.name,Silkworm tray
meuble.coffre.name,Chest
meuble.enclos.name,Pen
meuble.etal_de_vente.name,Market stall
meuble.garde_manger.name,Pantry
meuble.grand_coffre.name,Large chest
meuble.hall_de_guilde.name,Guild hall
meuble.lanterne_de_cristal.name,Crystal lantern
meuble.lit.name,Bed
meuble.lit_de_paille.name,Straw bed
meuble.ratelier_d_armes.name,Weapon rack
meuble.rucher.name,Apiary
meuble.statue.name,Statue
meuble.table.name,Table
meuble.tapis.name,Rug
meuble.terrarium.name,Terrarium
meuble.torchere.name,Torch sconce
meuble.tourelle.name,Turret
meuble.trophee.name,Trophy
meuble.vivarium.name,Vivarium
plant.achillee.name,Yarrow
plant.amanite.name,Fly agaric
plant.belladone.name,Belladonna
plant.ble.name,Wheat
plant.camomille.name,Chamomile
plant.carotte.name,Carrot
plant.champignon_des_pres.name,Field mushroom
plant.chou.name,Cabbage
plant.citrouille.name,Pumpkin
plant.fleurs_sauvages.name,Wildflowers
plant.framboisier.name,Raspberry bush
plant.houblon.name,Hops
plant.menthe.name,Mint
plant.myrtillier.name,Bilberry bush
plant.oignon.name,Onion
plant.orge.name,Barley
plant.ortie.name,Nettle
plant.pomme_de_terre.name,Potato
plant.roseau.name,Reed
plant.sauge.name,Sage
plant.tomate.name,Tomato
plant.vigne.name,Vine
creature.bouquetin.name,Ibex
creature.cerf.name,Deer
creature.chameau.name,Wild camel
creature.crocodile.name,Crocodile
creature.essaim_abeilles.name,Bee swarm
creature.fermier.name,Farmer
creature.forgeron.name,Blacksmith
creature.garde_village.name,Village guard
creature.loup_blanc.name,White wolf
creature.lynx.name,Lynx
creature.maitre_de_guilde.name,Guild master
creature.marchand.name,Merchant
creature.morse.name,Walrus
creature.nuee_moustiques.name,Mosquito swarm
creature.ours_brun.name,Brown bear
creature.ours_polaire.name,Polar bear
creature.pretre.name,Priest
creature.renard.name,Fox
creature.renne.name,Reindeer
creature.serpent_venimeux.name,Venomous snake
creature.vautour.name,Vulture
creature.villageois.name,Villager
species.carpe.name,Pond carp
species.chat.name,Alley cat
species.coquillage.name,Nacre shell
species.luciole.name,Hedgerow firefly
species.phalene.name,Peppered moth
species.poisson_de_bassin.name,Pond trout
species.ruche.name,Beehive
species.serpent.name,Dune snake
species.tortue.name,Marsh turtle
species.ver_a_soie.name,Silkworm
