keys,fr
rarete.exceptionnel,exceptionnel
rarete.artefact,artefact
epithete.bois,de sève
epithete.feu,de braise
epithete.terre,de roc
epithete.metal,d'acier
epithete.eau,de givre
affixe.unique_second_souffle.nom,"{base} du second souffle"
affixe.unique_vol_de_mana.nom,"{base} buveur de mana ({pct} %)"
affixe.unique_chaine_eternelle.nom,"{base} de la chaîne éternelle"
journal.second_souffle,"{nom} trouve un second souffle (+{soin} PV)"
affixe.cadence_element.nom,{base} {epithete} (une attaque sur {n} porte {element})
affixe.cadence_des.nom,{base} fervent (une sur {n} : +{des} dé)
affixe.cadence_percant.nom,{base} perçant (tous les {n} coups : ignore {pct} % d'armure)
affixe.cadence_saignee.nom,{base} sanglant (un coup sur {n} saigne)
affixe.cadence_parade.nom,{base} du parieur (une parade sur {n} rend {endurance} vigueur)
affixe.cadence_riposte.nom,{base} vengeur (un coup reçu sur {n} : riposte +{des} dé)
affixe.cond_pv_bas.nom,{base} du dernier souffle (sous {pct_pv} % PV : +{des} dé)
affixe.cond_element_cible.nom,{base} du chasseur (contre {element} : +{pct} %)
affixe.cond_profondeur.nom,{base} des profondeurs (étage ≥ {etage} : +{des} dé)
affixe.cond_nuit.nom,{base} nocturne (la nuit : +{pct} % vitesse)
affixe.cond_corruption.nom,{base} du danger (corruption ≥ {seuil} : +{pct} %)
affixe.cond_mana.nom,{base} des sources (densité de mana : −{pct} % coût)
affixe.wuxing_cycle.nom,{base} tournant (les coups touchés avancent l'élément dans le cycle)
affixe.wuxing_amplification.nom,{base} amplifié ({element} ×{pct} %)
affixe.wuxing_transmutation.nom,{base} de transmutation ({element} → {vers})
affixe.wuxing_ajout.nom,{base} {epithete} (+{pct} % {element} au vecteur)
affixe.wuxing_segment.nom,{base} de la chaîne (+1 segment de chaîne)
affixe.wuxing_combo.nom,{base} du combo (les combos donnent +2 dés)
affixe.wuxing_purete.nom,{base} pur (+{pct} % à l'élément dominant)
affixe.wuxing_domination.nom,{base} accordé (matchups défensifs +{pct} %)
affixe.decl_zone_etourdit.nom,{base} assommant (au coup en {zone} : étourdit {duree_ticks} ticks)
affixe.decl_zone_saigne.nom,{base} cruel (au coup en {zone} : saigne {duree_ticks} ticks)
affixe.decl_parade.nom,{base} du rempart (à la parade : rend {endurance} vigueur)
affixe.decl_mise_a_mort.nom,{base} du prédateur (à la mise à mort : +{pct} % vitesse {ticks} ticks)
affixe.decl_touche_etourdit.nom,{base} hérissé (touché : {chance} % d'étourdir {duree_ticks} ticks)
affixe.decl_touche_saigne.nom,{base} épineux (touché : {chance} % de faire saigner)
affixe.meca_vol_de_vie.nom,{base} vampirique (vol de vie {pct} %)
affixe.meca_allonge.nom,{base} long (+{n} allonge)
affixe.meca_garde.nom,{base} de la garde (garde −{pct} % de vigueur)
affixe.meca_capacite.nom,{base} du porteur (+{kg} capacité)
affixe.meca_vigueur_max.nom,{base} du souffle (+{n} vigueur max)
affixe.meca_armure.nom,{base} renforcé (+{n} armure)
affixe.passif_stat.nom,{base} de {stat} (+{n})
affixe.passif_competence.nom,{base} de {competence} (+{n})
affixe.passif_surchauffe.nom,{base} du mage (surchauffe ×{mult} %)
affixe.passif_regen.nom,{base} vivace (régénération +{pct} %)
affixe.passif_vitesse.nom,{base} du coureur (+{pct} % vitesse)
affixe.passif_tag.nom,{base} de {tag}
journal.loot,{nom} trouve : {objet}
journal.equipe,{nom} équipe {objet}
journal.rare,un {nom} RARE apparaît — {epithete} !
epithete_rare.ancestral,Ancestral
epithete_rare.dore,Doré
epithete_rare.sans_ombre,Sans ombre
epithete_rare.affame,Affamé
tile_content.coffre.name,Coffre
tile_content.butin.name,Butin
journal.rien_a_ramasser,rien à ramasser ici
item.gemme_rubis.name,Rubis
item.gemme_saphir.name,Saphir
item.gemme_emeraude.name,Émeraude
item.gemme_topaze.name,Topaze
item.gemme_onyx.name,Onyx
item.gemme_diamant.name,Diamant
item.gemme_amethyste.name,Améthyste
item.gemme_grenat.name,Grenat
item.gemme_opale.name,Opale
item.gemme_ambre.name,Ambre
item.grimoire.name,Grimoire
item.manuel.name,Manuel
taille.degats_element,dégâts élémentaires +
taille.competence,compétence +
taille.affinite,affinité +
taille.qualite,qualité +
taille.mana_max,mana max +
taille.sante_max,PV max +
taille.endurance_max,vigueur max +
taille.duree_statuts,durée des statuts +
taille.stat,stat +
domaine.feu,de Feu
domaine.eau,d'Eau et de Glace
domaine.terre,de Terre
domaine.metal,de Métal
domaine.bois,de Foudre et de Vie
domaine.arcane,d'Arcane
domaine.vie,de Vie
domaine.frappes,des Frappes
domaine.postures,des Postures
domaine.techniques,des Techniques
domaine.maitrise,de Maîtrise
journal.serti,{nom} sertit {gemme} dans {objet}
journal.pas_de_sertissure,pas d'emplacement libre (ou pas de gemme)
journal.lecture_reussie,{nom} lit {livre} : {n} module(s) appris
journal.lecture_echouee,"{nom} échoue à lire {livre} — le livre est perdu ({grave})"
ui.modules_connus,modules connus {n}
competence.epee.name,Épée
competence.hache_d_armes.name,Hache d'armes
competence.masse.name,Masse
competence.lance.name,Lance
competence.dague.name,Dague
competence.arc.name,Arc
competence.arbalete.name,Arbalète
competence.baton_magique.name,Bâton magique
competence.mains_nues.name,Mains nues
competence.bouclier.name,Bouclier
competence.dual_wielding.name,Dual wielding
competence.deux_mains.name,Deux mains
competence.meditation.name,Méditation
competence.recuperation.name,Récupération
competence.chasse.name,Chasse
serment.corps_nu.name,Corps nu
serment.corps_nu.desc,"Aucune armure, jamais — les coups portent à +35 %"
serment.mains_nues.name,Mains nues
serment.mains_nues.desc,"Aucune arme en main — les coups portent à +25 %"
serment.pauvrete.name,Pauvreté
serment.pauvrete.desc,"Jamais plus de cent pièces d’or — +3 Perception"
serment.sobriete.name,Sobriété
serment.sobriete.desc,"Aucune potion bue — +3 Endurance"
serment.vegetarien.name,Végétarien
serment.vegetarien.desc,"Aucune viande mangée — +3 Volonté"
serment.silence.name,Silence
serment.silence.desc,"Aucun livre lu — +2 Force et +2 Dextérité"
ui.creation.serments,Serments
journal.serment_rompu,"{nom} a rompu son serment : {serment} — le don est perdu"
competence.controle_mana.name,Contrôle du mana
competence.magie_feu.name,Feu
competence.magie_eau.name,Eau/Glace
competence.magie_terre.name,Terre
competence.magie_metal.name,Métal
competence.magie_bois.name,Foudre/Vie
competence.magie_arcane.name,Arcane
competence.magie_espace.name,Espace
competence.magie_corruption.name,Corruption
competence.minage.name,Minage
competence.bucheronnage.name,Bûcheronnage
competence.terrassement.name,Terrassement
competence.herboristerie.name,Herboristerie
competence.collecte.name,Collecte
competence.forge.name,Forge
competence.menuiserie.name,Menuiserie
competence.taille_de_pierre.name,Taille de pierre
competence.tissage.name,Tissage
competence.alchimie.name,Alchimie
competence.cuisine.name,Cuisine
competence.enchantement.name,Enchantement
competence.lecture.name,Lecture
competence.negociation.name,Négociation
competence.dressage.name,Dressage
competence.leadership.name,Leadership
competence.agriculture.name,Agriculture
competence.elevage.name,Élevage
competence.navigation.name,Navigation
competence.discretion.name,Discrétion
competence.athletisme.name,Athlétisme
competence.esquive.name,Esquive
competence.encaissement.name,Encaissement
competence.matelasse.name,Matelassé
competence.cuir.name,Cuir
competence.tissu.name,Tissu
competence.rituel.name,Vêtement rituel
competence.mailles.name,Mailles
competence.ecailles.name,Écailles
competence.plaque.name,Plaque
competence.tranchant.name,Tranchant
competence.perforant.name,Perforant
competence.contondant.name,Contondant
competence.element_bois.name,Bois (élément)
competence.element_feu.name,Feu (élément)
competence.element_terre.name,Terre (élément)
competence.element_metal.name,Métal (élément)
competence.element_eau.name,Eau (élément)
race.humain.name,Humain
race.insectoide.name,Insectoïde
race.homme_bete.name,Homme-bête
race.robot.name,Robot
race.nautique.name,Nautique
race.mutant.name,Mutant
race.daemon.name,Daemon
ui.apparence.val.museau,museau
ui.apparence.val.plaque,plaquée
ui.apparence.val.ecailleuse,écailleuse
ui.apparence.val.difforme,difforme
ui.apparence.val.cornue,cornue
ui.apparence.val.poilues,poilues
ui.apparence.val.capteurs,capteurs
ui.apparence.val.nageoires,nageoires
ui.apparence.val.asymetriques,asymétriques
ui.apparence.val.fauves,fauves
ui.apparence.val.optiques,optiques
ui.apparence.val.globuleux,globuleux
ui.apparence.val.multiples,multiples
ui.apparence.val.braise,de braise
ui.apparence.val.crocs,crocs
ui.apparence.val.grille,grille
ui.apparence.val.branchies,branchies
ui.apparence.val.tordue,tordue
ui.apparence.val.ardente,ardente
ui.apparence.val.insectoide,insectoïde
ui.apparence.val.mandibules,mandibules
ui.apparence.val.antennes,antennes
race.elfe.name,Elfe
race.nain.name,Nain
classe.le_sabre.name,Le Sabre
classe.le_souffle.name,Le Souffle
classe.la_braise.name,La Braise
classe.la_trace.name,La Trace
classe.la_balance.name,La Balance
classe.la_paume.name,La Paume
classe.le_creuset.name,Le Creuset
classe.le_vent.name,Le Vent
journal.niveau,{nom} : {competence} passe au niveau {niveau} (potentiel {potentiel})
ui.cout.capacite,"coût {n} {monnaie} (il t'en reste {reserve})"
ui.cout.deficit," — il t'en manque {n} : {pv} PV"
ui.reputation,"réputation : {liste}"
ui.reputation.village,"{nom} {n}"
ui.reputation.royaume,"royaume {nom} {n}"
ui.reputation.globale,"partout {n}"
ui.reputation.factions,"on dit de toi : {liste}"
ui.niveaux,niveau de combat {combat} · général {general}
ui.fin.niveaux,  niveaux gagnés : {liste}
ui.feuille,=== FEUILLE ===
ui.feuille.ligne,  {competence} {niveau} (XP {xp}/{suivant} · potentiel {potentiel})
ui.feuille.stat,  {stat} {valeur} (potentiel {potentiel})
animal.rat,Rat
animal.boeuf,Bœuf
animal.tigre,Tigre
animal.lapin,Lapin
animal.dragon,Dragon
animal.serpent,Serpent
animal.cheval,Cheval
animal.chevre,Chèvre
animal.singe,Singe
animal.coq,Coq
animal.chien,Chien
animal.cochon,Cochon
stat.force,Force
stat.dexterite,Dextérité
stat.endurance,Endurance
stat.volonte,Volonté
stat.perception,Perception
stat.charisme,Charisme
ui.creation.titre,=== CRÉATION DU PERSONNAGE ===
ui.creation.race,Race : {race} (R)
ui.creation.classe,Classe : {classe} (C) — talent : {talent}
ui.creation.talent_race,Talent de race : {talent}
ui.creation.sans_talent,aucun (à apprendre d'un maître)
ui.creation.points,Points à répartir : {restants} / {total}
ui.creation.signe,"Année de naissance {annee} : signe {element}-{animal} (← →)"
ui.creation.aide,"↑↓ choisir une stat · + / − répartir (max +10) · Entrée : commencer"
journal.respawn,{nom} se relève au point d'entrée ({perdus} objet(s) perdu(s))
journal.remontee,vous remontez à l'étage {etage}
journal.sortie,"{nom} ressort du donjon : {tues} ennemis, {objets} objets, étage {etage_max}"
ui.expedition.titre,=== EXPÉDITION TERMINÉE — {theme} ===
ui.expedition.ligne,"  étage max {etage_max} · {tues} ennemis vaincus · {objets} objets ramassés ({sac} au sac) · boss : {boss} · niveau de combat {combat}, général {general} — une nouvelle expédition commence"
journal.creuse,"{nom} abat le mur en ({x},{y})"
journal.increusable,ce mur ne se creuse pas (la roche de la cellule)
journal.recolte,"{nom} récolte {quantite} × {materiau}"
journal.rebondit,"l'outil rebondit : {materiau} est trop dur pour lui"
journal.effrite,"{nom} abat le mur ; sans outil, {materiau} s'effrite"
item.materiau_brut.name,Matériau brut
item.proto_pioche.name,Pioche de fer
functionality.pelle.name,Pelle
functionality.seau.name,Seau
item.proto_pelle.name,Pelle de fer
item.proto_seau.name,Seau de bois
item.craft_pelle.name,Pelle
recipe.fabriquer_seau.name,Fabriquer un seau
recipe.fabriquer_torche.name,Fabriquer des torches
functionality.pioche.name,Pioche
tile_content.filon.name,Filon
station.etabli.name,Établi
station.forge.name,Forge
station.enclume.name,Enclume
station.scierie.name,Scierie
station.tailleur_de_pierre.name,Tailleur de pierre
station.atelier_tissage.name,Atelier de tissage
station.alambic.name,Alambic
station.cuisine.name,Cuisine
station.table_enchantement.name,Table d'enchantement
recipe.fondre_lingot.name,Fondre un lingot
recipe.scier_planche.name,Scier des planches
recipe.tailler_pierre.name,Tailler la pierre
recipe.tanner_cuir.name,Tanner une peau
item.defense.name,Défense
material.ivoire.name,ivoire
recipe.polir_ivoire.name,Polir de l’ivoire
item.ecaille.name,Écaille
material.ecaille.name,écaille
recipe.durcir_ecaille.name,Durcir des écailles
material.croc.name,croc
recipe.travailler_os.name,Travailler l’os
recipe.tailler_croc.name,Tailler un croc
recipe.preparer_fourrure.name,Préparer une fourrure
recipe.tisser_tissu.name,Tisser
recipe.tailler_gemme.name,Tailler une gemme
recipe.fondre_verre.name,Fondre du verre
recipe.cuire_brique.name,Cuire des briques
recipe.faire_papier.name,Faire du papier
recipe.tresser_chaume.name,Tresser du chaume
forme.brut,{materiau}
forme.lingot,{materiau} (lingot)
forme.planche,{materiau} (planche)
forme.pierre_taillee,{materiau} (pierre taillée)
forme.tissu,{materiau} (tissu)
forme.taillee,{materiau} (taillée)
journal.fabrique,"{nom} fabrique {quantite} × {objet} ({recette})"
journal.manque,il manque des matériaux pour {recette}
journal.pas_de_station,aucune station dans le sac pour {recette}
ui.atelier,=== ATELIER (F pour fermer) — chiffre : fabriquer ===
ui.atelier.ligne,"  {n} {recette} [{station}] : {entrees} → {sortie}{ok}"
ui.atelier.vide,  (aucune station dans le sac)
tile_content.plante.name,Plante
tile_content.plante_sauvage.name,Plante sauvage
tile_content.lave.name,Lave
tile_content.obsidienne_figee.name,Roche figée
journal.lave_brule,"{nom} touche la lave ({degats})"
journal.mur_effondre,"un pan de mur s'écroule ({x},{y})"
journal.plancher_cede,"{nom} passe au travers du plancher : {degats} dégâts"
journal.plancher_effondre,"le plancher de l'étage s'effondre ({x},{y})"
journal.entend,"{nom} entend quelque chose et va voir"
slot.protege_ailes,Protège-ailes
slot.protege_queue,Protège-queue
partie.conduit_auditif_D,Conduit auditif droit
partie.conduit_auditif_G,Conduit auditif gauche
partie.narines,Narines
partie.nez,Nez
partie.oeil,Œil
partie.oeil_1,Œil 1
partie.oeil_2,Œil 2
partie.oeil_3,Œil 3
partie.oeil_4,Œil 4
partie.oeil_5,Œil 5
partie.oeil_6,Œil 6
partie.oeil_7,Œil 7
partie.oeil_8,Œil 8
partie.oreille_D,Oreille droite
partie.oreille_G,Oreille gauche
partie.organe_de_jacobson,Organe de Jacobson
partie.soies_sensorielles,Soies sensorielles
partie.truffe,Truffe
ui.ecran.anatomie,Anatomie de {nom}
ui.menu.anatomie,Anatomie
ui.anatomie.vital,vital
ui.anatomie.sens,"{sens} : {restants}/{total} — {etat}"
ui.anatomie.sens_ok,intact
ui.anatomie.sens_perdu,PERDU
ui.anatomie.sans_plan,Ce corps n'a pas de plan connu.
sens.vue,Vue
sens.ouie,Ouïe
sens.odorat,Odorat
ui.anatomie.membre,"{nom}  {pv}/{pv_max}"
ui.anatomie.organe,"   · {nom}  {pv}/{pv_max}"
ui.anatomie.perdue,"{nom}  —"
ui.anatomie.d_perdue,Perdu.
ui.anatomie.d_reserve,"Réserve : {pv} / {pv_max}"
ui.anatomie.d_nature,"{nature}{vital}"
ui.anatomie.d_membre,Membre
ui.anatomie.d_organe,Organe
ui.anatomie.d_vital, — vital
ui.anatomie.d_zone,"Zone de coup : {zone} (poids {poids})"
ui.anatomie.d_attache,"Attaché à : {nom}"
ui.anatomie.d_sens,"Sens : {sens} — {etat}"
ui.anatomie.d_emplacements,"Équipement : {liste}"
ui.anatomie.d_porte,"Porte : {liste}"
ui.anatomie.d_loge,"Loge : {liste}"
zone.tete,Tête
zone.torse,Torse
zone.bras,Bras
zone.jambes,Jambes
zone.pieds,Pieds
partie.abdomen,Abdomen
partie.aile_D,Aile droite
partie.aile_G,Aile gauche
partie.bras_D,Bras droit
partie.bras_G,Bras gauche
partie.cephalothorax,Céphalothorax
partie.cerveau,Cerveau
partie.chelizeres,Chélicères
partie.ganglion,Ganglion
partie.oeil_compose_D,Œil composé droit
partie.oeil_compose_G,Œil composé gauche
partie.antenne_D,Antenne droite
partie.antenne_G,Antenne gauche
partie.tympan_D,Tympan droit
partie.tympan_G,Tympan gauche
partie.coeur_dorsal,Cœur dorsal
partie.trachee_D,Trachée droite
partie.trachee_G,Trachée gauche
partie.corps_gras,Corps gras
partie.jabot,Jabot
partie.processeur,Processeur
partie.optique_D,Optique droite
partie.optique_G,Optique gauche
partie.capteur_acoustique_D,Capteur acoustique droit
partie.capteur_acoustique_G,Capteur acoustique gauche
partie.capteur_chimique,Capteur chimique
partie.noyau,Noyau
partie.batterie,Batterie
partie.pompe_hydraulique,Pompe hydraulique
partie.dissipateur,Dissipateur
partie.servo_dorsal,Servo dorsal
partie.organe_olfactif,Organe olfactif
partie.ligne_laterale,Ligne latérale
partie.branchie_D,Branchie droite
partie.branchie_G,Branchie gauche
partie.vessie_natatoire,Vessie natatoire
partie.oreille_mobile_D,Oreille mobile droite
partie.oreille_mobile_G,Oreille mobile gauche
partie.glande_odorante,Glande odorante
partie.coeur_second,Second cœur
partie.tumeur,Tumeur
partie.oeil_braise_D,Œil de braise droit
partie.oeil_braise_G,Œil de braise gauche
partie.naseaux,Naseaux
partie.coeur_de_soufre,Cœur de soufre
partie.poumon_de_cendre_D,Poumon de cendre droit
